idx,idx1,idx2,address1,address2,opcode1,opcode2,instruction1,instruction2,matching1,src_file,srccode
86,86,86,006d,006d,dd 21 65 01,dd 21 65 01,"ld ix,$0165","ld ix,$0165","ld ix,$0000",agon_init.asm,"LD		IX, argv_ptrs		; The argv array pointer address"
87,87,87,0071,0071,cd 51 01,cd 51 01,call $0151,call $0151,call $0000,agon_init.asm,CALL		_set_aix24		; Convert to a 24-bit address
88,88,88,0074,0074,5b dd e5,5b dd e5,push.lil ix,push.lil ix,push.lil ix,agon_init.asm,PUSH.LIL	IX
89,89,89,0077,0077,cd e1 00,cd e1 00,call $00e1,call $00e1,call $0000,agon_init.asm,CALL		_parse_params		; Parse the parameters
90,90,90,007a,007a,5b dd e1,5b dd e1,pop.lil ix,pop.lil ix,pop.lil ix,agon_init.asm,POP.LIL		IX			; IX: argv
91,91,91,007d,007d,06 00,06 00,"ld b,$00","ld b,$00","ld b,$00",agon_init.asm,"LD		B, 0			;  C: argc"
92,92,92,007f,007f,cd 9a 00,cd 9a 00,call $009a,call $009a,call $0000,agon_init.asm,CALL		_main			; Start user code
93,93,93,0082,0082,5b dd e1,5b dd e1,pop.lil ix,pop.lil ix,pop.lil ix,agon_init.asm,POP.LIL		IX			; Restore the registers
94,94,94,0085,0085,5b d1,5b d1,pop.lil de,pop.lil de,pop.lil de,agon_init.asm,POP.LIL		DE
95,95,95,0087,0087,5b c1,5b c1,pop.lil bc,pop.lil bc,pop.lil bc,agon_init.asm,POP.LIL		BC
96,96,96,0089,0089,5b f1,5b f1,pop.lil af,pop.lil af,pop.lil af,agon_init.asm,POP.LIL		AF
97,97,97,008b,008b,eb,eb,"ex de,hl","ex de,hl","ex de,hl",agon_init.asm,"EX		DE, HL 			; DE: Return code from BASIC"
98,98,98,008c,008c,5b e1,5b e1,pop.lil hl,pop.lil hl,pop.lil hl,agon_init.asm,POP.LIL		HL 			; The SPS part of the return address
99,99,99,008e,008e,5b fd e1,5b fd e1,pop.lil iy,pop.lil iy,pop.lil iy,agon_init.asm,POP.LIL		IY			; Get the preserved SPS
100,100,100,0091,0091,fd f9,fd f9,"ld sp,iy","ld sp,iy","ld sp,iy",agon_init.asm,"LD		SP, IY			; Restore SPS"
101,101,101,0093,0093,e3,e3,"ex (sp),hl","ex (sp),hl","ex (sp),hl",agon_init.asm,"EX		(SP), HL		; Store the SPS part of the return address on the stack"
102,102,102,0094,0094,eb,eb,"ex de,hl","ex de,hl","ex de,hl",agon_init.asm,"EX		DE, HL 			; HL: Return code from BASIC"
103,103,103,0095,0095,5b fd e1,5b fd e1,pop.lil iy,pop.lil iy,pop.lil iy,agon_init.asm,POP.LIL		IY			; Restore IY
104,104,104,0098,0098,49 c9,49 c9,ret.lis,ret.lis,ret.lis,agon_init.asm,RET.L					; Return to MOS
105,105,105,009a,009a,21 00 53,21 00 52,"ld hl,$5300","ld hl,$5200","ld hl,$0000",agon_init.asm,"_main:			LD	HL, ACCS		; Clear the ACCS"
106,106,106,009d,009d,36 00,36 00,"ld (hl),$00","ld (hl),$00","ld (hl),$00",agon_init.asm,"LD	(HL), 0"
107,107,107,009f,009f,79,79,"ld a,c","ld a,c","ld a,c",agon_init.asm,"LD	A, C"
108,108,108,00a0,00a0,fe 02,fe 02,cp $02,cp $02,cp $00,agon_init.asm,CP	2
109,109,109,00a2,00a2,28 24,28 24,"jr z,$+$26","jr z,$+$26","jr z,$+$00",agon_init.asm,"JR	Z, _autoload		; 2 parameters = autoload"
110,110,110,00a4,00a4,38 35,38 35,"jr c,$+$37","jr c,$+$37","jr c,$+$00",agon_init.asm,"JR	C, _startbasic		; 1 parameter = normal start"
111,111,111,00a6,00a6,cd 7e 45,cd dc 44,call $457e,call $44dc,call $0000,agon_init.asm,CALL	TELL
112,112,112,00a9,00a9,55,55,"ld d,l","ld d,l","ld d,l",agon_init.asm,"DB	""Usage:\n\r"""
113,113,113,00aa,00aa,73,73,"ld (hl),e","ld (hl),e","ld (hl),e",agon_init.asm,
114,114,114,00ab,00ab,61,61,"ld h,c","ld h,c","ld h,c",agon_init.asm,
115,115,115,00ac,00ac,67,67,"ld h,a","ld h,a","ld h,a",agon_init.asm,
116,116,116,00ad,00ad,65,65,"ld h,l","ld h,l","ld h,l",agon_init.asm,
117,117,117,00ae,00ae,3a 0a 0d,3a 0a 0d,"ld a,($0d0a)","ld a,($0d0a)","ld a,($0000)",agon_init.asm,
118,118,118,00b1,00b1,52 55,52 55,"ld.sil d,l","ld.sil d,l","ld.sil d,l",agon_init.asm,"DB	""RUN . <filename>\n\r"", 0"
119,119,119,00b3,00b3,4e,4e,"ld c,(hl)","ld c,(hl)","ld c,(hl)",agon_init.asm,
120,120,120,00b4,00b4,20 2e,20 2e,"jr nz,$+$30","jr nz,$+$30","jr nz,$+$00",agon_init.asm,
121,121,121,00b6,00b6,20 3c,20 3c,"jr nz,$+$3e","jr nz,$+$3e","jr nz,$+$00",agon_init.asm,
122,122,122,00b8,00b8,66,66,"ld h,(hl)","ld h,(hl)","ld h,(hl)",agon_init.asm,
123,123,123,00b9,00b9,69,69,"ld l,c","ld l,c","ld l,c",agon_init.asm,
124,124,124,00ba,00ba,6c,6c,"ld l,h","ld l,h","ld l,h",agon_init.asm,
125,125,125,00bb,00bb,65,65,"ld h,l","ld h,l","ld h,l",agon_init.asm,
126,126,126,00bc,00bc,6e,6e,"ld l,(hl)","ld l,(hl)","ld l,(hl)",agon_init.asm,
127,127,127,00bd,00bd,61,61,"ld h,c","ld h,c","ld h,c",agon_init.asm,
128,128,128,00be,00be,6d,6d,"ld l,l","ld l,l","ld l,l",agon_init.asm,
129,129,129,00bf,00bf,65,65,"ld h,l","ld h,l","ld h,l",agon_init.asm,
130,130,130,00c0,00c0,3e 0a,3e 0a,"ld a,$0a","ld a,$0a","ld a,$00",agon_init.asm,
131,131,131,00c2,00c2,0d,0d,dec c,dec c,dec c,agon_init.asm,
132,132,132,00c3,00c3,00,00,nop,nop,nop,agon_init.asm,
133,133,133,00c4,00c4,21 00 00,21 00 00,"ld hl,$0000","ld hl,$0000","ld hl,$0000",agon_init.asm,"LD	HL, 0			; The error code"
134,134,134,00c7,00c7,c9,c9,ret,ret,ret,agon_init.asm,RET
135,135,135,00c8,00c8,5b dd 27 03,5b dd 27 03,"ld.lil hl,(ix+$03)","ld.lil hl,(ix+$03)","ld.lil hl,(ix+$00)",agon_init.asm,"_autoload:		LD.LIL	HL, (IX+3)		; HLU: Address of filename"
136,136,136,00cc,00cc,11 00 53,11 00 52,"ld de,$5300","ld de,$5200","ld de,$0000",agon_init.asm,"LD	DE, ACCS		;  DE: Destination address"
137,137,137,00cf,00cf,5b 7e,5b 7e,"ld.lil a,(hl)","ld.lil a,(hl)","ld.lil a,(hl)",agon_init.asm,"@@:			LD.LIL	A, (HL)			; Fetch the filename byte"
138,138,138,00d1,00d1,12,12,"ld (de),a","ld (de),a","ld (de),a",agon_init.asm,"LD	(DE), A			;"
139,139,139,00d2,00d2,5b 23,5b 23,inc.lil hl,inc.lil hl,inc.lil hl,agon_init.asm,INC.LIL	HL			; Increase the source pointer
140,140,140,00d4,00d4,1c,1c,inc e,inc e,inc e,agon_init.asm,INC	E			; We only need to increase E as ACCS is on a page boundary
141,141,141,00d5,00d5,20 f8,20 f8,"jr nz,$-$06","jr nz,$-$06","jr nz,$-$00",agon_init.asm,"JR	NZ, @B			; Loop until we hit a 0 byte"
142,142,142,00d7,00d7,1d,1d,dec e,dec e,dec e,agon_init.asm,DEC	E
143,143,143,00d8,00d8,3e 0d,3e 0d,"ld a,$0d","ld a,$0d","ld a,$00",agon_init.asm,"LD	A, CR"
144,144,144,00da,00da,12,12,"ld (de),a","ld (de),a","ld (de),a",agon_init.asm,"LD	(DE), A			; Replace the 0 byte with a CR for BBC BASIC"
145,145,145,00db,00db,e1,e1,pop hl,pop hl,pop hl,agon_init.asm,_startbasic:		POP	 HL			; Pop the return address to init off SPS
146,146,146,00dc,00dc,5b e5,5b e5,push.lil hl,push.lil hl,push.lil hl,agon_init.asm,PUSH.LIL HL 			; Stack it on SPL (*BYE will use this as the return address)
147,147,147,00de,00de,c3 9b 37,c3 f9 36,jp $379b,jp $36f9,jp $0000,agon_init.asm,JP	 START			; And start BASIC
148,148,148,00e1,00e1,01 45 00,01 45 00,"ld bc,$0045","ld bc,$0045","ld bc,$0000",agon_init.asm,"_parse_params:		LD		BC, _exec_name		; Get the address of the app name in this segment"
149,149,149,00e4,00e4,cd 3f 01,cd 3f 01,call $013f,call $013f,call $0000,agon_init.asm,CALL		_set_abc24		; Convert it to a 24-bit address based upon segment base
150,150,150,00e7,00e7,5b dd 0f 00,5b dd 0f 00,"ld.lil (ix),bc","ld.lil (ix),bc","ld.lil (ix),bc",agon_init.asm,"LD.LIL		(IX+0), BC		; ARGV[0] = the executable name"
151,151,151,00eb,00eb,5b dd 23,5b dd 23,inc.lil ix,inc.lil ix,inc.lil ix,agon_init.asm,INC.LIL		IX
152,152,152,00ee,00ee,5b dd 23,5b dd 23,inc.lil ix,inc.lil ix,inc.lil ix,agon_init.asm,INC.LIL		IX
153,153,153,00f1,00f1,5b dd 23,5b dd 23,inc.lil ix,inc.lil ix,inc.lil ix,agon_init.asm,INC.LIL		IX
154,154,154,00f4,00f4,cd 36 01,cd 36 01,call $0136,call $0136,call $0000,agon_init.asm,CALL		_skip_spaces		; Skip HL past any leading spaces
155,155,155,00f7,00f7,01 01 00,01 01 00,"ld bc,$0001","ld bc,$0001","ld bc,$0000",agon_init.asm,"LD		BC, 1			; C: ARGC = 1 - also clears out top 16 bits of BCU"
156,156,156,00fa,00fa,06 0f,06 0f,"ld b,$0f","ld b,$0f","ld b,$00",agon_init.asm,"LD		B, argv_ptrs_max - 1	; B: Maximum number of argv_ptrs"
157,157,157,00fc,00fc,c5,c5,push bc,push bc,push bc,agon_init.asm,_parse_params_1:	PUSH		BC			; Stack ARGC
158,158,158,00fd,00fd,5b e5,5b e5,push.lil hl,push.lil hl,push.lil hl,agon_init.asm,PUSH.LIL	HL			; Stack start address of token
159,159,159,00ff,00ff,cd 25 01,cd 25 01,call $0125,call $0125,call $0000,agon_init.asm,CALL		_get_token		; Get the next token
160,160,160,0102,0102,79,79,"ld a,c","ld a,c","ld a,c",agon_init.asm,"LD		A, C			; A: Length of the token in characters"
161,161,161,0103,0103,5b d1,5b d1,pop.lil de,pop.lil de,pop.lil de,agon_init.asm,POP.LIL		DE			; Start address of token (was in HL)
162,162,162,0105,0105,c1,c1,pop bc,pop bc,pop bc,agon_init.asm,POP		BC			; ARGC
163,163,163,0106,0106,b7,b7,or a,or a,or a,agon_init.asm,OR		A			; Check for A=0 (no token found) OR at end of string
164,164,164,0107,0107,c8,c8,ret z,ret z,ret z,agon_init.asm,RET		Z
165,165,165,0108,0108,5b dd 1f 00,5b dd 1f 00,"ld.lil (ix),de","ld.lil (ix),de","ld.lil (ix),de",agon_init.asm,"LD.LIL		(IX+0), DE		; Store the pointer to the token"
166,166,166,010c,010c,5b e5,5b e5,push.lil hl,push.lil hl,push.lil hl,agon_init.asm,PUSH.LIL	HL			; DE=HL
167,167,167,010e,010e,5b d1,5b d1,pop.lil de,pop.lil de,pop.lil de,agon_init.asm,POP.LIL		DE
168,168,168,0110,0110,cd 36 01,cd 36 01,call $0136,call $0136,call $0000,agon_init.asm,CALL		_skip_spaces		; And skip HL past any spaces onto the next character
169,169,169,0113,0113,af,af,xor a,xor a,xor a,agon_init.asm,XOR		A
170,170,170,0114,0114,5b 12,5b 12,"ld.lil (de),a","ld.lil (de),a","ld.lil (de),a",agon_init.asm,"LD.LIL		(DE), A			; Zero-terminate the token"
171,171,171,0116,0116,5b dd 23,5b dd 23,inc.lil ix,inc.lil ix,inc.lil ix,agon_init.asm,INC.LIL		IX
172,172,172,0119,0119,5b dd 23,5b dd 23,inc.lil ix,inc.lil ix,inc.lil ix,agon_init.asm,INC.LIL		IX
173,173,173,011c,011c,5b dd 23,5b dd 23,inc.lil ix,inc.lil ix,inc.lil ix,agon_init.asm,INC.LIL		IX			; Advance to next pointer position
174,174,174,011f,011f,0c,0c,inc c,inc c,inc c,agon_init.asm,INC		C			; Increment ARGC
175,175,175,0120,0120,79,79,"ld a,c","ld a,c","ld a,c",agon_init.asm,"LD		A, C			; Check for C >= A"
176,176,176,0121,0121,b8,b8,cp b,cp b,cp b,agon_init.asm,CP		B
177,177,177,0122,0122,38 d8,38 d8,"jr c,$-$26","jr c,$-$26","jr c,$-$00",agon_init.asm,"JR		C, _parse_params_1	; And loop"
178,178,178,0124,0124,c9,c9,ret,ret,ret,agon_init.asm,RET
179,179,179,0125,0125,0e 00,0e 00,"ld c,$00","ld c,$00","ld c,$00",agon_init.asm,"_get_token:		LD		C, 0			; Initialise length"
180,180,180,0127,0127,5b 7e,5b 7e,"ld.lil a,(hl)","ld.lil a,(hl)","ld.lil a,(hl)",agon_init.asm,"@@:			LD.LIL		A, (HL)			; Get the character from the parameter string"
181,181,181,0129,0129,b7,b7,or a,or a,or a,agon_init.asm,OR		A			; Exit if 0 (end of parameter string in MOS)
182,182,182,012a,012a,c8,c8,ret z,ret z,ret z,agon_init.asm,RET 		Z
183,183,183,012b,012b,fe 0d,fe 0d,cp $0d,cp $0d,cp $00,agon_init.asm,CP		13			; Exit if CR (end of parameter string in BBC BASIC)
184,184,184,012d,012d,c8,c8,ret z,ret z,ret z,agon_init.asm,RET		Z
185,185,185,012e,012e,fe 20,fe 20,cp $20,cp $20,cp $00,agon_init.asm,CP		' '			; Exit if space (end of token)
186,186,186,0130,0130,c8,c8,ret z,ret z,ret z,agon_init.asm,RET		Z
187,187,187,0131,0131,5b 23,5b 23,inc.lil hl,inc.lil hl,inc.lil hl,agon_init.asm,INC.LIL		HL			; Advance to next character
188,188,188,0133,0133,0c,0c,inc c,inc c,inc c,agon_init.asm,INC 		C			; Increment length
189,189,189,0134,0134,18 f1,18 f1,jr $-$0d,jr $-$0d,jr $-$00,agon_init.asm,JR		@B
190,190,190,0136,0136,5b 7e,5b 7e,"ld.lil a,(hl)","ld.lil a,(hl)","ld.lil a,(hl)",agon_init.asm,"_skip_spaces:		LD.LIL		A, (HL)			; Get the character from the parameter string"
191,191,191,0138,0138,fe 20,fe 20,cp $20,cp $20,cp $00,agon_init.asm,CP		' '			; Exit if not space
192,192,192,013a,013a,c0,c0,ret nz,ret nz,ret nz,agon_init.asm,RET		NZ
193,193,193,013b,013b,5b 23,5b 23,inc.lil hl,inc.lil hl,inc.lil hl,agon_init.asm,INC.LIL		HL			; Advance to next character
194,194,194,013d,013d,18 f7,18 f7,jr $-$07,jr $-$07,jr $-$00,agon_init.asm,JR		_skip_spaces		; Increment length
195,195,195,013f,013f,5b e5,5b e5,push.lil hl,push.lil hl,push.lil hl,agon_init.asm,_set_abc24:		PUSH.LIL	HL			; Preserve HL
196,196,196,0141,0141,5b c5,5b c5,push.lil bc,push.lil bc,push.lil bc,agon_init.asm,PUSH.LIL	BC			; Stick BC onto SPL
197,197,197,0143,0143,5b 21 02 00 00,5b 21 02 00 00,"ld.lil hl,$000002","ld.lil hl,$000002","ld.lil hl,$000000",agon_init.asm,"LD.LIL		HL, 2			; HL: SP+2"
198,198,198,0148,0148,5b 39,5b 39,"add.lil hl,sp","add.lil hl,sp","add.lil hl,sp",agon_init.asm,"ADD.LIL		HL, SP"
199,199,199,014a,014a,5b 77,5b 77,"ld.lil (hl),a","ld.lil (hl),a","ld.lil (hl),a",agon_init.asm,"LD.LIL		(HL), A			; Store A in it"
200,200,200,014c,014c,5b c1,5b c1,pop.lil bc,pop.lil bc,pop.lil bc,agon_init.asm,POP.LIL		BC			; Fetch ammended BC
201,201,201,014e,014e,5b e1,5b e1,pop.lil hl,pop.lil hl,pop.lil hl,agon_init.asm,POP.LIL		HL			; Restore HL
202,202,202,0150,0150,c9,c9,ret,ret,ret,agon_init.asm,RET
203,203,203,0151,0151,5b dd e5,5b dd e5,push.lil ix,push.lil ix,push.lil ix,agon_init.asm,_set_aix24:		PUSH.LIL	IX			; Stick IX onto SPL
204,204,204,0154,0154,5b dd 21 02 00 00,5b dd 21 02 00 00,"ld.lil ix,$000002","ld.lil ix,$000002","ld.lil ix,$000000",agon_init.asm,"LD.LIL		IX, 2			; IX: SP+2"
205,205,205,015a,015a,5b dd 39,5b dd 39,"add.lil ix,sp","add.lil ix,sp","add.lil ix,sp",agon_init.asm,"ADD.LIL		IX, SP"
206,206,206,015d,015d,5b dd 77 00,5b dd 77 00,"ld.lil (ix),a","ld.lil (ix),a","ld.lil (ix),a",agon_init.asm,"LD.LIL		(IX), A			; Store A in it"
207,207,207,0161,0161,5b dd e1,5b dd e1,pop.lil ix,pop.lil ix,pop.lil ix,agon_init.asm,POP.LIL		IX			; Fetch ammended IX
208,208,208,0164,0164,c9,c9,ret,ret,ret,agon_init.asm,RET
209,209,209,0165,0165,00,00,nop,nop,nop,agon_init.asm,"argv_ptrs:		BLKP	argv_ptrs_max, 0		; Storage for the argv array pointers"
210,210,210,0166,0166,00,00,nop,nop,nop,agon_init.asm,
211,211,211,0167,0167,00,00,nop,nop,nop,agon_init.asm,
212,212,212,0168,0168,00,00,nop,nop,nop,agon_init.asm,
213,213,213,0169,0169,00,00,nop,nop,nop,agon_init.asm,
214,214,214,016a,016a,00,00,nop,nop,nop,agon_init.asm,
215,215,215,016b,016b,00,00,nop,nop,nop,agon_init.asm,
216,216,216,016c,016c,00,00,nop,nop,nop,agon_init.asm,
217,217,217,016d,016d,00,00,nop,nop,nop,agon_init.asm,
218,218,218,016e,016e,00,00,nop,nop,nop,agon_init.asm,
219,219,219,016f,016f,00,00,nop,nop,nop,agon_init.asm,
220,220,220,0170,0170,00,00,nop,nop,nop,agon_init.asm,
221,221,221,0171,0171,00,00,nop,nop,nop,agon_init.asm,
222,222,222,0172,0172,00,00,nop,nop,nop,agon_init.asm,
223,223,223,0173,0173,00,00,nop,nop,nop,agon_init.asm,
224,224,224,0174,0174,00,00,nop,nop,nop,agon_init.asm,
225,225,225,0175,0175,00,00,nop,nop,nop,agon_init.asm,
226,226,226,0176,0176,00,00,nop,nop,nop,agon_init.asm,
227,227,227,0177,0177,00,00,nop,nop,nop,agon_init.asm,
228,228,228,0178,0178,00,00,nop,nop,nop,agon_init.asm,
229,229,229,0179,0179,00,00,nop,nop,nop,agon_init.asm,
230,230,230,017a,017a,00,00,nop,nop,nop,agon_init.asm,
231,231,231,017b,017b,00,00,nop,nop,nop,agon_init.asm,
232,232,232,017c,017c,00,00,nop,nop,nop,agon_init.asm,
233,233,233,017d,017d,00,00,nop,nop,nop,agon_init.asm,
234,234,234,017e,017e,00,00,nop,nop,nop,agon_init.asm,
235,235,235,017f,017f,00,00,nop,nop,nop,agon_init.asm,
236,236,236,0180,0180,00,00,nop,nop,nop,agon_init.asm,
237,237,237,0181,0181,00,00,nop,nop,nop,agon_init.asm,
238,238,238,0182,0182,00,00,nop,nop,nop,agon_init.asm,
239,239,239,0183,0183,00,00,nop,nop,nop,agon_init.asm,
240,240,240,0184,0184,00,00,nop,nop,nop,agon_init.asm,
241,241,241,0185,0185,00,00,nop,nop,nop,agon_init.asm,
242,242,242,0186,0186,00,00,nop,nop,nop,agon_init.asm,
243,243,243,0187,0187,00,00,nop,nop,nop,agon_init.asm,
